bangla,english,santali
তোমার হ্রদ ভালো।,Your lake is good.,amaʔ ɟɔla d̪ɔ mɔ̃ɟa.
একটি শিশু গ্রামে আছে।,One child is in the village.,mit̪ʔʈɛn gid̪ɾɘ d̪ɔ at̪oɾɛ menaa.
দেবতাটি ভালো।,The deity is good.,bʰokta d̪ɔ mɔ̃ɟa.
মূল্যায়নটি ভালো।,The appraisement is good.,anman d̪ɔ mɔ̃ɟa.
"তুমি ভাষা লিখবে, কিন্তু কথা লিখবে না।","You will write the language, but do not write the word.",am d̪ɔ pɘɾsi ɔlɔʔa mɛnkʰan kat̪ʰa bam ɔlɔʔa.
তোমার চারা রোপণ পরিষ্কার।,Your transplantation is clean.,amaʔ apʰɔɾ d̪ɔ sapʰaa.
সকালে সে ভাষা লিখে বাড়িতে খেলবে।,"In the morning, he/she write the language and then play in the house.",sɛt̪aʔɾɛ uni pɘɾsi ɔlɔʔkat̪ɛ ɔɽaʔɾɛ gat̪ea.
কারকীয় ক্রিয়াটি গুরুত্বপূর্ণ।,The causative inflection is important.,a d̪ɔ ɟɘɾuɽa.
তোমরা চুল্লি দেখবে।,You all will see the furnace.,apɛ d̪ɔ bʰaʈa ɲɛla.
"সে ভাষা লিখবে, কিন্তু কথা লিখবে না।","He/she will write the language, but does not write the word.",uni d̪ɔ pɘɾsi ɔlɔʔa mɛnkʰan kat̪ʰa bai̯ ɔlɔʔa.
আজ আমি ঔষধ কিনে কুয়ায় যাব।,"Today, I buy the medicine and then go to the well.",t̪eheɲɾɛ iɲ ɾan kiɾiɲkat̪ɛ kuɲɾɛ calaʔa.
একটি কিশোর হ্রদে আছে।,One hobbledehoy is in the lake.,mit̪ʔʈɛn bat͡ʃʰɽa koɽa d̪ɔ ɟɔlaɾɛ menaa.
আমরা মধু ও মাছ খাব।,We will eat the honey and the fish.,alɛ d̪ɔ ɲɛlɛɾasa aɾ haku ɟɔma.
আমাদের দুধ সুস্বাদু।,Our milk is tasty.,alɛaʔ t̪o̯͡a d̪ɔ sibila.
গ্রামে একটি কিশোর আছে।,There is a lad in the village.,at̪oɾɛ bat͡ʃʰɽa menaa.
"আমি কথা বলব, কিন্তু কথা বলব না।","I will speak the word, but do not speak the word.",iɲ d̪ɔ kat̪ʰa ɾɔɽa mɛnkʰan kat̪ʰa bɘɲ ɾɔɽa.
তারা মুহূর্ত দেখেছে।,They have seen the moment.,oŋko d̪ɔ abʰeɽ ɲɛlakada.
কুয়ায় একটি পা আছে।,There is a leg in the well.,kuɲɾɛ ɟaŋga menaa.
বাসস্থানে একটি উদ্বৃত্ত আছে।,There is a surplus in the dwelling place.,basɾɛ bətil menaa.
হ্রদে একটি পোশাক আছে।,There is an attire in the lake.,ɟɔlaɾɛ bʰagwa menaa.
নিকটবর্তী এলাকাে একটি রোগ আছে।,There is an illness in the vicinity.,aɖe ʈolaɾɛ ɾu̯͡ɘ menaa.
গুহাে একটি পা আছে।,There is a leg in the cave.,bʰugək̕ɾɛ ɟaŋga menaa.
তোমার মাছ ভালো।,Your fish is good.,amaʔ haku d̪ɔ mɔ̃ɟa.
তোমরা বেল্টের ক্ল্যাপ দেখবে না।,You all do not see the belt clasp.,apɛ d̪ɔ bəkuk̕ bapɛ ɲɛla.
সকালে তোমরা কথা লিখে বাড়িতে যাবে।,"In the morning, you all write the word and then go to the house.",sɛt̪aʔɾɛ apɛ kat̪ʰa ɔlɔʔkat̪ɛ ɔɽaʔɾɛ calaʔa.
বাসস্থানে একটি শহর আছে।,There is a town in the dwelling place.,basɾɛ sɔhɔɽ menaa.
সেই সময় তোমরা কথা পড়ে হ্রদে যাবে।,"At that time, you all study the word and then go to the lake.",ɔkt̪ɛɾɛ apɛ kat̪ʰa paɽha͡o̯kat̪ɛ ɟɔlaɾɛ calaʔa.
আয়ুর্বেদিক উদ্ভিদটি ভালো।,The bishop’s weed is good.,əd͡ʒuə̯ d̪ɔ mɔ̃ɟa.
সেই সময় আমরা ঔষধ কিনে কুয়ায় আসব।,"At that time, we buy the medicine and then come to the well.",ɔkt̪ɛɾɛ alɛ ɾan kiɾiɲkat̪ɛ kuɲɾɛ hiɟuʔa.
শহরে একটি কাজ আছে।,There is a work in the town.,sɔhɔɽɾɛ kɘmi menaa.
আমরা তাঁতের অংশ দেখব না।,We do not see the heddles of loom.,alɛ d̪ɔ bade balɛ ɲɛla.
কুয়ায় একটি হ্রদ আছে।,There is a lake in the well.,kuɲɾɛ ɟɔla menaa.
উৎপাদকটি গুরুত্বপূর্ণ।,The producer is important.,aɾd͡ʒoniə̯ d̪ɔ ɟɘɾuɽa.
বিস্তীর্ণ ভূমিে একটি মধু আছে।,There is a honey in the wide expanse of land.,bilənɾɛ ɲɛlɛɾasa menaa.
তার বিদ্যুৎ পরিষ্কার।,His/her lightning is clean.,uniaʔ bid͡ʒli d̪ɔ sapʰaa.
তোমাদের পা নতুন।,Your leg is new.,apɛaʔ ɟaŋga d̪ɔ nɔwaa.
তার পানি ভালো।,His/her water is good.,uniaʔ d̪aʔ d̪ɔ mɔ̃ɟa.
তারা পশু তাড়ানোর লাঠি ও শ্বাস দেখবে।,They will see the goad and the breath.,oŋko d̪ɔ aɾd͡ʒan aɾ bao̯ ɲɛla.
তার ডাক্তার ভালো।,His/her doctor is good.,uniaʔ ɖak̚t̪aɾ d̪ɔ mɔ̃ɟa.
আজ আমরা কথা পড়ে স্কুলে খেলব।,"Today, we study the word and then play in the school.",t̪eheɲɾɛ alɛ kat̪ʰa paɽha͡o̯kat̪ɛ iskulɾɛ gat̪ea.
সকালে তারা কথা পড়ে শহরে যাবে।,"In the morning, they study the word and then go to the town.",sɛt̪aʔɾɛ oŋko kat̪ʰa paɽha͡o̯kat̪ɛ sɔhɔɽɾɛ calaʔa.
তোমরা এক প্রজাতির কাক ও ফার্ন গাছ দেখবে।,You all will see the bow-billed corby and the fern.,apɛ d̪ɔ bʰoɳɖa kəhu aɾ badgot͡ʃak̕ ɲɛla.
সকালে তারা বিরক্তি দেখে কুয়ায় খেলবে।,"In the morning, they see the annoyance and then play in the well.",sɛt̪aʔɾɛ oŋko əɽis ɲɛlkat̪ɛ kuɲɾɛ gat̪ea.
ইংল্যান্ডে একটি বিড়াল আছে।,There is a cat in the england.,bilətɾɛ pusi menaa.
আমি পাল (নৌকার) দেখেছি।,I have seen the sail.,iɲ d̪ɔ baɖɔm ɲɛlakada.
সে পশু তাড়ানোর লাঠি দেখেছে।,He/she has seen the goad.,uni d̪ɔ aɾd͡ʒan ɲɛlakada.
আদালতটি ভালো।,The court is good.,adalot d̪ɔ mɔ̃ɟa.
সকালে আমি ভাষা পড়ে কুয়ায় খেলব।,"In the morning, I study the language and then play in the well.",sɛt̪aʔɾɛ iɲ pɘɾsi paɽha͡o̯kat̪ɛ kuɲɾɛ gat̪ea.
বাসস্থানে একটি ফুল আছে।,There is a flower in the residence.,basaɾɛ baha menaa.
আমার শিশু ছোট।,My child is small.,iɲaʔ gid̪ɾɘ d̪ɔ lɘʈua.
শহরে একটি বাক্য আছে।,There is a sentence in the town.,sɔhɔɽɾɛ ajat menaa.
তুমি পরাজয় দেখবে না।,You do not see the beating.,am d̪ɔ alao̯ bam ɲɛla.
আড়ালে একটি মাছ আছে।,There is a fish in the covert.,ao̯tanɾɛ haku menaa.
তারা টাকা পেয়েছে।,They have gotten the money.,oŋko d̪ɔ ʈaka ɲamakada.
নদীতে একটি বিড়াল আছে।,There is a cat in the river.,gaɖaɾɛ pusi menaa.
বিস্তীর্ণ ভূমিে একটি পুরুষ ভেড়া আছে।,There is a ram in the wide expanse of land.,bilənɾɛ bʰeɖa menaa.
ইংল্যান্ডে একটি বিকার আছে।,There is a delirium in the england.,bilətɾɛ bəi̯ menaa.
বন্দুকটি নতুন।,The gun is new.,bənduk d̪ɔ nɔwaa.
আমাদের ভূত গুরুত্বপূর্ণ।,Our apparition is important.,alɛaʔ bʰeo̯na d̪ɔ ɟɘɾuɽa.
বাড়িতে একটি পা আছে।,There is a leg in the house.,ɔɽaʔɾɛ ɟaŋga menaa.
সে পাত্র ও ত্রুটি দেখবে।,He/she will see the receptacle and the faults.,uni d̪ɔ anataŋ aɾ bʰul bisoɾ ɲɛla.
ত্রুটিটি গুরুত্বপূর্ণ।,The faults is important.,bʰul bisoɾ d̪ɔ ɟɘɾuɽa.
"আমি কথা বলব, কিন্তু ভাষা বলব না।","I will speak the word, but do not speak the language.",iɲ d̪ɔ kat̪ʰa ɾɔɽa mɛnkʰan pɘɾsi bɘɲ ɾɔɽa.
আমার মুহূর্ত ভালো।,My moment is good.,iɲaʔ abʰeɽ d̪ɔ mɔ̃ɟa.
আমরা অভ্র ও খড়ের মোটা দড়ি দেখব।,We will see the mica and the thick straw rope.,alɛ d̪ɔ abɾak aɾ baɾahi ɲɛla.
সে অপমান দেখবে না।,He/she does not see the disgrace.,uni d̪ɔ apd͡ʒɔs bai̯ ɲɛla.
হ্রদে একটি তরকারি আছে।,There is a vegetables in the lake.,ɟɔlaɾɛ aɽak̕ sakam menaa.
নদীতে একটি ওয়ারেন্ট আছে।,There is a warrant in the river.,gaɖaɾɛ aɾoɳʈ menaa.
তোমরা কিনছ।,You all are buying.,apɛpɛ kiɾiɲɛd̪a.
তোমরা ঘড়ি ও মাছ কিনবে।,You all will buy the watch and the fish.,apɛ d̪ɔ gʰuɽi aɾ haku kiɾiɲa.
বাসস্থানে একটি সুতা আছে।,There is a twine in the dwelling place.,basɾɛ babeɾ menaa.
গতকাল তারা মাছ কিনে বাড়িতে খেলবে।,"Yesterday, they buy the fish and then play in the house.",hɔlaɾɛ oŋko haku kiɾiɲkat̪ɛ ɔɽaʔɾɛ gat̪ea.
নিকটবর্তী এলাকাে একটি ছোট কুঠার আছে।,There is a small adze in the vicinity.,aɖe ʈolaɾɛ bəslə menaa.
আমার বেল্টের ক্ল্যাপ পরিষ্কার।,My belt clasp is clean.,iɲaʔ bəkuk̕ d̪ɔ sapʰaa.
আমরা সকাল দেখব।,We will see the morning.,alɛ d̪ɔ ãɽgat ɲɛla.
গতকাল আমি বাঘ দেখে শহরে যাব।,"Yesterday, I see the tiger and then go to the town.",hɔlaɾɛ iɲ t̪ɘɾup̚ʔ ɲɛlkat̪ɛ sɔhɔɽɾɛ calaʔa.
তোমাদের খেলা ভালো।,Your game is good.,apɛaʔ bʰelguɖa d̪ɔ mɔ̃ɟa.
সে মা সাহায্য করেছে।,He/she has helped the mother.,uni d̪ɔ gɔgɔ gɔɽɔakada.
উঠানে একটি পা আছে।,There is a leg in the courtyard of house.,bəteɾɛ ɟaŋga menaa.
তারা নিরামিষাশী ও জাদুবিদ্যা দেখবে।,They will see the vegetarian and the sorcery.,oŋko d̪ɔ bʰagat aɾ ban ɲɛla.
একটি রান্না নদীতে আছে।,One cooked food is in the river.,mit̪ʔ basaŋ d̪ɔ gaɖaɾɛ menaa.
শহরে একটি ধনুক আছে।,There is a bow in the town.,sɔhɔɽɾɛ ak̕ menaa.
পাড়াে একটি আশা আছে।,There is an expectation in the neighbourhood.,aɖe paseɾɛ as menaa.
ফুলটি নতুন।,The flower is new.,baha d̪ɔ nɔwaa.
সেই সময় আমরা কথা লিখে স্কুলে কাজ করব।,"At that time, we write the word and then work in the school.",ɔkt̪ɛɾɛ alɛ kat̪ʰa ɔlɔʔkat̪ɛ iskulɾɛ kɘmia.
"তুমি মাছ কিনবে, কিন্তু খাবার কিনবে না।","You will buy the fish, but do not buy the food.",am d̪ɔ haku kiɾiɲa mɛnkʰan ɟɔmaʔ bam kiɾiɲa.
তোমরা নিষেধাত্মক উপসর্গ ও ভূমিকম্প দেখবে।,You all will see the privative prefix and the earthquake.,apɛ d̪ɔ an aɾ bʰut͡ʃampa ɲɛla.
তোমাদের পা পরিষ্কার।,Your leg is clean.,apɛaʔ ɟaŋga d̪ɔ sapʰaa.
আজ তোমরা কথা লিখে নদীতে খেলবে।,"Today, you all write the word and then play in the river.",t̪eheɲɾɛ apɛ kat̪ʰa ɔlɔʔkat̪ɛ gaɖaɾɛ gat̪ea.
"সে মধু খাবে, কিন্তু রান্না খাবে না।","He/she will eat the honey, but does not eat the cooked food.",uni d̪ɔ ɲɛlɛɾasa ɟɔma mɛnkʰan basaŋ bai̯ ɟɔma.
তুমি কনুই দেখেছিলে।,You saw the elbow.,amɛm bə̃hl ɲɛlkeda.
হ্রদে একটি বট গাছ আছে।,There is a banyan tree in the lake.,ɟɔlaɾɛ baɽe menaa.
আজ আমরা কথা লিখে নদীতে কাজ করব।,"Today, we write the word and then work in the river.",t̪eheɲɾɛ alɛ kat̪ʰa ɔlɔʔkat̪ɛ gaɖaɾɛ kɘmia.
নারীজাতিটি পরিষ্কার।,The females is clean.,əi̯məi̯ d͡ʒət d̪ɔ sapʰaa.
আমার উত্তরাধিকার ছোট।,My heritage is small.,iɲaʔ bapɔti dʰɔn d̪ɔ lɘʈua.
সকালে আমি পক্ষাঘাত দেখে কুয়ায় যাব।,"In the morning, I see the hemiplegia and then go to the well.",sɛt̪aʔɾɛ iɲ aɾdʰəŋgi ɲɛlkat̪ɛ kuɲɾɛ calaʔa.
তোমরা স্বস্তি দেখবে না।,You all do not see the relief.,apɛ d̪ɔ ao̯san bapɛ ɲɛla.
নেতিবাচকটি নতুন।,The negative is new.,baŋ d̪ɔ nɔwaa.
বিস্তীর্ণ ভূমিে একটি কালো ভাল্লুক আছে।,There is a black bear in the wide expanse of land.,bilənɾɛ bana menaa.
"তুমি এক প্রজাতির কুঁচলা মাছ দেখবে, কিন্তু এক ধরনের বাদ্যযন্ত্র দেখবে না।","You will see the a species of eel, but do not see the a kind of fiddle.",am d̪ɔ bəmbi ɲɛla mɛnkʰan banam bam ɲɛla.
"সে রান্না খাবে, কিন্তু রান্না খাবে না।","He/she will eat the cooked food, but does not eat the cooked food.",uni d̪ɔ basaŋ ɟɔma mɛnkʰan basaŋ bai̯ ɟɔma.
আমরা ঘড়ি কিনেছি।,We have bought the watch.,alɛ d̪ɔ gʰuɽi kiɾiɲakada.
বাড়িতে একটি শহর আছে।,There is a town in the house.,ɔɽaʔɾɛ sɔhɔɽ menaa.
সেই সময় আমি মোবাইল ফোন কিনে হ্রদে যাব।,"At that time, I buy the mobile phone and then go to the lake.",ɔkt̪ɛɾɛ iɲ mɔbaĭl pʰon kiɾiɲkat̪ɛ ɟɔlaɾɛ calaʔa.
বনরুইটি ছোট।,The ant-eater is small.,aɾba d̪ɔ lɘʈua.
একটি প্রজন্ম হ্রদে আছে।,One generation is in the lake.,mit̪ʔʈɛn bibɔɾɔn d̪ɔ ɟɔlaɾɛ menaa.
তাদের কাজ পরিষ্কার।,Their work is clean.,oŋkoaʔ kɘmi d̪ɔ sapʰaa.
সেই সময় সে ডিমের কুসুম দেখে হ্রদে আসবে।,"At that time, he/she see the yolk of egg and then come to the lake.",ɔkt̪ɛɾɛ uni bele botke ɲɛlkat̪ɛ ɟɔlaɾɛ hiɟuʔa.
সকালে তোমরা ঘড়ি কিনে নদীতে কাজ করবে।,"In the morning, you all buy the watch and then work in the river.",sɛt̪aʔɾɛ apɛ gʰuɽi kiɾiɲkat̪ɛ gaɖaɾɛ kɘmia.
আমি ফল পাকা দেখব।,I will see the mellowing.,iɲ d̪ɔ aɾaɾao̯k̕ ɲɛla.
সমস্যাটি নতুন।,The trouble is new.,ad͡ʒaɾ d̪ɔ nɔwaa.
আমার স্কুল পরিষ্কার।,My school is clean.,iɲaʔ iskul d̪ɔ sapʰaa.
আমার নভেম্বর–ডিসেম্বর পরিষ্কার।,My november–december is clean.,iɲaʔ agʰãɽ d̪ɔ sapʰaa.
